Site,Parameter,SampleDate,Value
Big Glen Lake,Secchi Depth,1994-07-21,15
Big Glen Lake,Secchi Depth,1994-08-17,19.5
Big Glen Lake,Secchi Depth,1994-09-30,20
Big Glen Lake,Secchi Depth,1994-11-07,22
Big Glen Lake,Secchi Depth,1995-04-20,19
Big Glen Lake,Secchi Depth,1995-06-19,25
Big Glen Lake,Secchi Depth,1995-07-11,18
Big Glen Lake,Secchi Depth,1995-10-03,20
Big Glen Lake,Secchi Depth,1996-07-17,16
Big Glen Lake,Secchi Depth,1996-08-17,24
Big Glen Lake,Secchi Depth,1996-09-19,17
Big Glen Lake,Secchi Depth,1997-04-24,25.5
Big Glen Lake,Secchi Depth,1997-06-29,13.5
Big Glen Lake,Secchi Depth,1997-07-23,15
Big Glen Lake,Secchi Depth,1997-08-13,16.5
Big Glen Lake,Secchi Depth,1997-09-08,16
Big Glen Lake,Secchi Depth,1998-04-20,15
Big Glen Lake,Secchi Depth,1998-08-12,15.5
Big Glen Lake,Secchi Depth,1998-11-09,24
Big Glen Lake,Secchi Depth,1999-04-13,21.5
Big Glen Lake,Secchi Depth,1999-06-17,14
Big Glen Lake,Secchi Depth,1999-09-21,21
Big Glen Lake,Secchi Depth,2000-04-26,22
Big Glen Lake,Secchi Depth,2000-06-23,13
Big Glen Lake,Secchi Depth,2000-07-26,20
Big Glen Lake,Secchi Depth,2000-08-14,20
Big Glen Lake,Secchi Depth,2000-09-25,20
Big Glen Lake,Secchi Depth,2000-10-19,20
Big Glen Lake,Secchi Depth,2001-05-31,18
Big Glen Lake,Secchi Depth,2001-08-07,18
Big Glen Lake,Secchi Depth,2001-09-27,18
Big Glen Lake,Secchi Depth,2001-10-24,20
Big Glen Lake,Secchi Depth,2001-11-06,21
Big Glen Lake,Secchi Depth,2002-04-23,21.5
Big Glen Lake,Secchi Depth,2002-05-21,20
Big Glen Lake,Secchi Depth,2002-06-18,18
Big Glen Lake,Secchi Depth,2002-07-15,18
Big Glen Lake,Secchi Depth,2002-08-21,15
Big Glen Lake,Secchi Depth,2002-09-17,18
Big Glen Lake,Secchi Depth,2002-10-16,19
Big Glen Lake,Secchi Depth,2003-04-23,31
Big Glen Lake,Secchi Depth,2003-05-14,22
Big Glen Lake,Secchi Depth,2003-06-16,24
Big Glen Lake,Secchi Depth,2003-08-13,15
Big Glen Lake,Secchi Depth,2003-09-11,18
Big Glen Lake,Secchi Depth,2004-06-03,21
Big Glen Lake,Secchi Depth,2004-07-20,15.5
Big Glen Lake,Secchi Depth,2004-08-16,6.5
Big Glen Lake,Secchi Depth,2004-09-21,26.5
Big Glen Lake,Secchi Depth,2004-10-07,5.5
Big Glen Lake,Secchi Depth,2005-04-29,24.5
Big Glen Lake,Secchi Depth,2005-05-31,23.5
Big Glen Lake,Secchi Depth,2005-07-06,16.5
Big Glen Lake,Secchi Depth,2005-08-11,18
Big Glen Lake,Secchi Depth,2005-09-08,28
Big Glen Lake,Secchi Depth,2006-06-27,24.5
Big Glen Lake,Secchi Depth,2006-08-17,16.5
Big Glen Lake,Secchi Depth,2007-06-01,24.5
Big Glen Lake,Secchi Depth,2007-07-29,17
Big Glen Lake,Secchi Depth,2007-08-23,19.5
Big Glen Lake,Secchi Depth,2007-10-23,19
Big Glen Lake,Secchi Depth,2008-07-11,19
Big Glen Lake,Secchi Depth,2008-08-04,14
Big Glen Lake,Secchi Depth,2008-09-09,17
Big Glen Lake,Secchi Depth,2009-06-26,30.5
Big Glen Lake,Secchi Depth,2009-07-29,18
Big Glen Lake,Secchi Depth,2009-09-09,21.5
Big Glen Lake,Secchi Depth,2010-05-20,25.5
Big Glen Lake,Secchi Depth,2010-06-21,17
Big Glen Lake,Secchi Depth,2010-08-12,18
Big Glen Lake,Secchi Depth,2011-06-14,18.5
Big Glen Lake,Secchi Depth,2011-07-06,12
Big Glen Lake,Secchi Depth,2011-08-04,21
Big Glen Lake,Secchi Depth,2011-09-01,18
Big Glen Lake,Secchi Depth,2011-10-10,25
Big Glen Lake,Secchi Depth,2012-05-01,28
Big Glen Lake,Secchi Depth,2012-07-16,29
Big Glen Lake,Secchi Depth,2012-09-15,19
